"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a page to delete","Unable to find a page to delete"
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Update prices using the following information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
"Use Auto Generation","Use Auto Generation"
"Used","Used"
"Uses per coupon","Uses per coupon"
"Uses per Coupon","Uses per Coupon"
"Uses per customer","Uses per customer"
"Uses per Customer","Uses per Customer"
"Websites","Websites"
"Website","Website"
"Wrong rule specified.","Wrong rule specified."
"Yes","Yes"
